,group,predictor,vif,flagged
12,"Qwen/Qwen3-4B-Instruct-2507_Holistic naive v2, scale 4, system prompt V1, user prompt V2",mean_rating,1.097,False
13,"Qwen/Qwen3-4B-Instruct-2507_Holistic naive v2, scale 4, system prompt V1, user prompt V2",log_raw_input_word_count,1.095,False
14,"Qwen/Qwen3-4B-Instruct-2507_Holistic naive v2, scale 4, system prompt V1, user prompt V2",normalized_entropy,1.002,False
15,"Qwen/Qwen3.5-4B_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",mean_rating_qa_pair_topical_concentration,11.499,True
16,"Qwen/Qwen3.5-4B_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",mean_rating_qa_pair_information_coverage,9.424,True
17,"Qwen/Qwen3.5-4B_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",mean_rating_qa_pair_topical_alignment,8.463,True
18,"Qwen/Qwen3.5-4B_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",mean_rating_qa_pair_communicative_clarity,5.991,True
19,"Qwen/Qwen3.5-4B_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",normalized_entropy_qa_pair_topical_concentration,4.59,False
20,"Qwen/Qwen3.5-4B_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",normalized_entropy_qa_pair_topical_alignment,4.271,False
21,"Qwen/Qwen3.5-4B_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",normalized_entropy_qa_pair_information_coverage,3.778,False
22,"Qwen/Qwen3.5-4B_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",normalized_entropy_qa_pair_communicative_clarity,2.793,False
23,"Qwen/Qwen3.5-4B_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",log_raw_input_word_count,1.408,False
24,"Qwen/Qwen3.5-4B_Holistic informed v2, scale 4, system prompt V1, user prompt V2, rubric v2",mean_rating,1.108,False
25,"Qwen/Qwen3.5-4B_Holistic informed v2, scale 4, system prompt V1, user prompt V2, rubric v2",log_raw_input_word_count,1.062,False
26,"Qwen/Qwen3.5-4B_Holistic informed v2, scale 4, system prompt V1, user prompt V2, rubric v2",normalized_entropy,1.048,False
27,"Qwen/Qwen3.5-4B_Holistic naive v2, scale 4, system prompt V1, user prompt V2",mean_rating,1.158,False
28,"Qwen/Qwen3.5-4B_Holistic naive v2, scale 4, system prompt V1, user prompt V2",log_raw_input_word_count,1.088,False
29,"Qwen/Qwen3.5-4B_Holistic naive v2, scale 4, system prompt V1, user prompt V2",normalized_entropy,1.076,False
30,"google/gemma-4-E2B-it_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",mean_rating_qa_pair_topical_concentration,7.071,True
31,"google/gemma-4-E2B-it_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",mean_rating_qa_pair_topical_alignment,6.92,True
32,"google/gemma-4-E2B-it_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",mean_rating_qa_pair_information_coverage,5.119,True
33,"google/gemma-4-E2B-it_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",mean_rating_qa_pair_communicative_clarity,2.983,False
34,"google/gemma-4-E2B-it_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",normalized_entropy_qa_pair_topical_concentration,1.703,False
35,"google/gemma-4-E2B-it_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",normalized_entropy_qa_pair_topical_alignment,1.636,False
36,"google/gemma-4-E2B-it_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",normalized_entropy_qa_pair_information_coverage,1.265,False
37,"google/gemma-4-E2B-it_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",normalized_entropy_qa_pair_communicative_clarity,1.208,False
38,"google/gemma-4-E2B-it_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",log_raw_input_word_count,1.206,False
39,"google/gemma-4-E2B-it_Holistic informed v2, scale 4, system prompt V1, user prompt V2, rubric v2",mean_rating,1.055,False
40,"google/gemma-4-E2B-it_Holistic informed v2, scale 4, system prompt V1, user prompt V2, rubric v2",log_raw_input_word_count,1.043,False
41,"google/gemma-4-E2B-it_Holistic informed v2, scale 4, system prompt V1, user prompt V2, rubric v2",normalized_entropy,1.013,False
42,"google/gemma-4-E2B-it_Holistic naive v2, scale 4, system prompt V1, user prompt V2",mean_rating,1.073,False
43,"google/gemma-4-E2B-it_Holistic naive v2, scale 4, system prompt V1, user prompt V2",log_raw_input_word_count,1.047,False
44,"google/gemma-4-E2B-it_Holistic naive v2, scale 4, system prompt V1, user prompt V2",normalized_entropy,1.026,False
45,"meta-llama/Llama-3.2-3B-Instruct_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",mean_rating_qa_pair_information_coverage,18.405,True
46,"meta-llama/Llama-3.2-3B-Instruct_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",mean_rating_qa_pair_topical_concentration,11.028,True
47,"meta-llama/Llama-3.2-3B-Instruct_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",mean_rating_qa_pair_communicative_clarity,10.618,True
48,"meta-llama/Llama-3.2-3B-Instruct_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",mean_rating_qa_pair_topical_alignment,10.451,True
49,"meta-llama/Llama-3.2-3B-Instruct_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",normalized_entropy_qa_pair_information_coverage,8.04,True
50,"meta-llama/Llama-3.2-3B-Instruct_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",normalized_entropy_qa_pair_topical_concentration,5.29,True
51,"meta-llama/Llama-3.2-3B-Instruct_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",normalized_entropy_qa_pair_communicative_clarity,4.739,False
52,"meta-llama/Llama-3.2-3B-Instruct_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",normalized_entropy_qa_pair_topical_alignment,4.636,False
53,"meta-llama/Llama-3.2-3B-Instruct_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",log_raw_input_word_count,1.988,False
54,"meta-llama/Llama-3.2-3B-Instruct_Holistic informed v2, scale 4, system prompt V1, user prompt V2, rubric v2",log_raw_input_word_count,1.49,False
55,"meta-llama/Llama-3.2-3B-Instruct_Holistic informed v2, scale 4, system prompt V1, user prompt V2, rubric v2",mean_rating,1.484,False
56,"meta-llama/Llama-3.2-3B-Instruct_Holistic informed v2, scale 4, system prompt V1, user prompt V2, rubric v2",normalized_entropy,1.123,False
57,"meta-llama/Llama-3.2-3B-Instruct_Holistic naive v2, scale 4, system prompt V1, user prompt V2",mean_rating,1.561,False
58,"meta-llama/Llama-3.2-3B-Instruct_Holistic naive v2, scale 4, system prompt V1, user prompt V2",log_raw_input_word_count,1.492,False
59,"meta-llama/Llama-3.2-3B-Instruct_Holistic naive v2, scale 4, system prompt V1, user prompt V2",normalized_entropy,1.26,False
