analysis_group_full,,human_disagreement,multimodal_severity_score
google/gemma-4-E2B-it_f926cb88b5c8_qa_pair_overall_answer_quality,multimodal_severity_score,-0.024424911295810245,1.0
meta-llama/Llama-3.2-3B-Instruct_83fb9645af53_qa_pair_communicative_clarity,human_disagreement,1.0,0.012077314116382507
meta-llama/Llama-3.2-3B-Instruct_83fb9645af53_qa_pair_communicative_clarity,multimodal_severity_score,0.012077314116382507,1.0
meta-llama/Llama-3.2-3B-Instruct_83fb9645af53_qa_pair_information_coverage,human_disagreement,1.0,0.011419355333825897
meta-llama/Llama-3.2-3B-Instruct_83fb9645af53_qa_pair_information_coverage,multimodal_severity_score,0.011419355333825897,1.0
meta-llama/Llama-3.2-3B-Instruct_83fb9645af53_qa_pair_topical_alignment,human_disagreement,1.0,0.048435569164976225
meta-llama/Llama-3.2-3B-Instruct_83fb9645af53_qa_pair_topical_alignment,multimodal_severity_score,0.048435569164976225,1.0
meta-llama/Llama-3.2-3B-Instruct_83fb9645af53_qa_pair_topical_concentration,human_disagreement,1.0,0.03268418262580234
meta-llama/Llama-3.2-3B-Instruct_83fb9645af53_qa_pair_topical_concentration,multimodal_severity_score,0.03268418262580234,1.0
meta-llama/Llama-3.2-3B-Instruct_f1ea5fbc4957_qa_pair_overall_answer_quality,human_disagreement,1.0,0.006972634517217979
meta-llama/Llama-3.2-3B-Instruct_f1ea5fbc4957_qa_pair_overall_answer_quality,multimodal_severity_score,0.006972634517217979,1.0
meta-llama/Llama-3.2-3B-Instruct_f926cb88b5c8_qa_pair_overall_answer_quality,human_disagreement,1.0,-0.002487759597479765
meta-llama/Llama-3.2-3B-Instruct_f926cb88b5c8_qa_pair_overall_answer_quality,multimodal_severity_score,-0.002487759597479765,1.0
